WeldNumber,folder_4,WeldNumber,datetime_min,datetime_max,Wire Consumed,QualityFlag,WELD_TYPE,THICKNESS_MM,STEEL_TYPE,CURRENT_A,VOLTAGE_V,ROBOT_SPEED_CPM,Duration,Energy,AvgCurrent,AvgVoltage,StdCurrent,StdVoltage,DesignEnergy,WaitTime,WaitSameDayFlag,EnergyDelta,CurrentDelta,VoltDelta,CycleTime,EstSetupTime,WaitTimeCalc,WIP,DesignWaitTime,DesignSetupTime,DesignDuration,Weekday,StartTime,EndTime,ForecastStart,SimulationStart,ForecastEnd,SimulationEnd,Critical Path
10,08-11-22-0011-00,10,2022-08-11 04:02:45.142,2022-08-11 04:03:12.551,2209.51,0,0,7.0,1,180.0,24.0,30.0,27.409,116.6350652,168.8818,25.46534136546185,30.751587629371407,4.409058397384653,108.0,80.146,1.0,0.0799543074074073,-0.0617677777777777,0.0610558902275768,107.555,41.3638,38.78220000000001,1.0,209.95281885457436,60,25.0,1,2022-08-01 09:25:15,2022-08-01 09:25:40.446647152,2022-08-11 04:02:45.142000000,2022-08-11 04:02:45.142000000,2022-08-11 04:03:12.551000000,2022-08-11 04:03:12.551000000,Non-Critical
11,08-11-22-0012-00,11,2022-08-11 04:04:27.702,2022-08-11 04:04:55.259,1823.12,0,0,7.0,1,180.0,24.0,30.0,27.557,113.0154023659,162.17008064516128,25.24088709677419,32.966201843116224,3.746318141152937,108.0,75.151,1.0,0.0464389107953704,-0.0990551075268817,0.0517036290322578,102.708,41.3638,33.7872,1.0,150.57632386369045,60,25.0,1,2022-08-01 09:29:11,2022-08-01 09:29:36.022971015,2022-08-11 04:04:27.702000000,2022-08-11 04:04:27.702000000,2022-08-11 04:04:55.259000000,2022-08-11 04:04:55.259000000,Non-Critical
12,08-11-22-0013-00,12,2022-08-11 04:05:59.508,2022-08-11 04:06:27.284,2046.07,0,0,7.0,1,180.0,24.0,30.0,27.776,117.7806455914,168.9138492063492,25.106785714285717,38.70671056668991,3.9404594027215007,108.0,64.249,1.0,0.0905615332537037,-0.0615897266313933,0.0461160714285713,92.025,41.3638,22.885199999999998,1.0,82.19333725431997,60,25.0,1,2022-08-01 09:31:58,2022-08-01 09:32:23.216308269,2022-08-11 04:05:59.508000000,2022-08-11 04:05:59.508000000,2022-08-11 04:06:27.284000000,2022-08-11 04:06:27.284000000,Non-Critical
13,08-11-22-0014-00,13,2022-08-11 04:08:17.365,2022-08-11 04:08:44.985,2310.82,0,0,7.0,1,180.0,24.0,30.0,27.62,112.6786634977,160.95484,25.541880000000003,39.284157972966426,4.349392985575332,108.0,110.081,1.0,0.043320958312037,-0.1058064444444445,0.0642450000000001,137.701,41.3638,68.71719999999999,1.0,14.637890742482751,60,25.0,1,2022-08-01 09:33:37,2022-08-01 09:34:02.854199011,2022-08-11 04:08:17.365000000,2022-08-11 04:08:17.365000000,2022-08-11 04:08:44.985000000,2022-08-11 04:08:44.985000000,Non-Critical
14,08-11-22-0015-00,14,2022-08-11 04:10:15.443,2022-08-11 04:10:42.821,1833.77,0,0,7.0,1,180.0,24.0,30.0,27.378,114.1857696104,165.51388663967612,25.39214574898785,29.65797228051802,4.780332659595403,108.0,90.458,1.0,0.0572756445407407,-0.0804784075573549,0.058006072874494,117.836,41.3638,49.0942,1.0,60.525727928146594,60,25.0,1,2022-08-01 09:36:03,2022-08-01 09:36:28.379926939,2022-08-11 04:10:15.443000000,2022-08-11 04:10:15.443000000,2022-08-11 04:10:42.821000000,2022-08-11 04:10:42.821000000,Non-Critical
15,08-11-22-0016-00,15,2022-08-11 04:12:41.955,2022-08-11 04:13:09.674,2160.82,0,0,7.0,1,180.0,24.0,30.0,27.719,115.309775745,166.18107569721116,25.44414342629482,32.718409008358684,4.903888861235196,108.0,119.134,1.0,0.06768310875,-0.0767718016821602,0.0601726427622841,146.853,41.3638,77.77020000000002,1.0,354.6582909941964,60,25.0,1,2022-08-01 09:43:23,2022-08-01 09:43:48.038217933,2022-08-11 04:12:41.955000000,2022-08-11 04:12:41.955000000,2022-08-11 04:13:09.674000000,2022-08-11 04:13:09.674000000,Non-Critical
16,08-11-22-0017-00,16,2022-08-11 04:15:02.073,2022-08-11 04:15:29.761,1830.66,0,0,7.0,1,180.0,24.0,30.0,27.688,115.4790372507,164.98232000000002,25.53124,33.73513989406729,4.93327050687228,108.0,112.399,1.0,0.0692503449138888,-0.0834315555555554,0.0638016666666665,140.087,41.3638,71.03519999999999,1.0,11.549343743049295,60,25.0,1,2022-08-01 09:44:59,2022-08-01 09:45:24.587561676,2022-08-11 04:15:02.073000000,2022-08-11 04:15:02.073000000,2022-08-11 04:15:29.761000000,2022-08-11 04:15:29.761000000,Non-Critical
17,08-11-22-0018-00,17,2022-08-11 04:17:04.968,2022-08-11 04:17:32.755,2204.43,0,0,7.0,1,180.0,24.0,30.0,27.787,115.4138261804,165.14964,25.20508,39.39585154742806,4.496431806394739,108.0,95.207,1.0,0.0686465387074075,-0.0825019999999999,0.0502116666666665,122.994,41.3638,53.8432,1.0,26.23741639733358,60,25.0,1,2022-08-01 09:46:50,2022-08-01 09:47:15.824978073,2022-08-11 04:17:04.968000000,2022-08-11 04:17:04.968000000,2022-08-11 04:17:32.755000000,2022-08-11 04:17:32.755000000,Non-Critical
18,08-11-22-0019-00,18,2022-08-11 04:18:57.914,2022-08-11 04:19:25.450,2384.92,0,0,7.0,1,180.0,24.0,30.0,27.536,115.5457077472,165.92404000000002,25.61664,32.390504299152475,5.192491635809519,108.0,85.159,1.0,0.0698676643259259,-0.0781997777777776,0.06736,112.695,41.3638,43.79520000000001,1.0,10.354077217723642,60,25.0,1,2022-08-01 09:48:26,2022-08-01 09:48:51.179055290,2022-08-11 04:18:57.914000000,2022-08-11 04:18:57.914000000,2022-08-11 04:19:25.450000000,2022-08-11 04:19:25.450000000,Non-Critical
19,08-17-22-0001-00,19,2022-08-17 07:28:11.468,2022-08-17 07:28:38.940,2446.89,0,0,7.0,1,180.0,24.0,30.0,27.472,118.4664336834,173.15795180722893,24.924899598393576,33.060239596212256,3.25897187335676,108.0,529726.018,0.0,0.0969114229944443,-0.0380113788487281,0.0385374832663989,529753.49,41.3638,529684.6542,1.0,11.790912004047602,60,25.0,1,2022-08-01 09:50:02,2022-08-01 09:50:27.969967294,2022-08-17 07:28:11.468000000,2022-08-17 07:28:11.468000000,2022-08-17 07:28:38.940000000,2022-08-17 07:28:38.940000000,Non-Critical
20,08-17-22-0002-00,20,2022-08-17 07:30:07.458,2022-08-17 07:30:34.900,1893.61,0,0,7.0,1,180.0,24.0,30.0,27.442,117.2839015798,172.04258964143426,25.2698406374502,33.698273084342624,4.990476928561239,108.0,88.518,1.0,0.0859620516648147,-0.0442078353253652,0.0529100265604249,115.96,41.3638,47.15420000000001,1.0,10.414535007768487,60,25.0,1,2022-08-01 09:51:38,2022-08-01 09:52:03.384502301,2022-08-17 07:30:07.458000000,2022-08-17 07:30:07.458000000,2022-08-17 07:30:34.900000000,2022-08-17 07:30:34.900000000,Non-Critical
21,08-17-22-0003-00,21,2022-08-17 07:32:52.187,2022-08-17 07:33:19.676,2230.98,0,0,7.0,1,180.0,24.0,30.0,27.489,118.8269693337,172.82976000000002,24.92284,31.2277462087084,3.5852846747778324,108.0,137.287,1.0,0.1002497160527777,-0.0398346666666665,0.0384516666666667,164.776,41.3638,95.9232,1.0,39.28303981879152,60,25.0,1,2022-08-01 09:53:42,2022-08-01 09:54:07.667542119,2022-08-17 07:32:52.187000000,2022-08-17 07:32:52.187000000,2022-08-17 07:33:19.676000000,2022-08-17 07:33:19.676000000,Non-Critical
22,08-17-22-0004-00,22,2022-08-17 07:34:44.590,2022-08-17 07:35:12.178,1913.61,0,0,7.0,1,180.0,24.0,30.0,27.588,117.3729630726,170.6972619047619,25.347023809523808,38.07251399572972,5.120719130529761,108.0,84.914,1.0,0.0867866951166667,-0.0516818783068784,0.056125992063492,112.502,41.3638,43.55020000000001,1.0,11.898884909549045,60,25.0,1,2022-08-01 09:55:19,2022-08-01 09:55:44.566427028,2022-08-17 07:34:44.590000000,2022-08-17 07:34:44.590000000,2022-08-17 07:35:12.178000000,2022-08-17 07:35:12.178000000,Non-Critical
23,08-17-22-0005-00,23,2022-08-17 07:38:14.614,2022-08-17 07:38:42.086,2204.1,0,0,7.0,1,180.0,24.0,30.0,27.472,118.6100846603,173.4244,25.17836,32.11207164324473,4.643827715776634,108.0,182.436,1.0,0.0982415246324075,-0.0365311111111111,0.0490983333333334,209.908,41.3638,141.0722,1.0,122.03939504003998,60,25.0,1,2022-08-01 09:58:46,2022-08-01 09:59:11.605822068,2022-08-17 07:38:14.614000000,2022-08-17 07:38:14.614000000,2022-08-17 07:38:42.086000000,2022-08-17 07:38:42.086000000,Non-Critical
24,08-17-22-0006-00,24,2022-08-17 07:40:20.662,2022-08-17 07:40:48.201,2450.49,0,0,7.0,1,180.0,24.0,30.0,27.539,118.2161290838,171.514126984127,25.282341269841268,32.528332052034216,4.891174472834552,108.0,98.576,1.0,0.094593787812963,-0.0471437389770722,0.0534308862433861,126.115,41.3638,57.2122,1.0,92.71412450732022,60,25.0,1,2022-08-01 10:01:44,2022-08-01 10:02:09.319946575,2022-08-17 07:40:20.662000000,2022-08-17 07:40:20.662000000,2022-08-17 07:40:48.201000000,2022-08-17 07:40:48.201000000,Non-Critical
25,08-17-22-0007-00,25,2022-08-17 07:43:09.883,2022-08-17 07:43:37.408,1900.33,0,0,7.0,1,180.0,24.0,30.0,27.525,118.5980886183,172.818016194332,24.87672064777328,32.952458408352626,3.7783530006148,108.0,141.682,1.0,0.0981304501694444,-0.0398999100314889,0.0365300269905533,169.207,41.3638,100.3182,1.0,43.26923169478822,60,25.0,1,2022-08-01 10:03:52,2022-08-01 10:04:17.589178269,2022-08-17 07:43:09.883000000,2022-08-17 07:43:09.883000000,2022-08-17 07:43:37.408000000,2022-08-17 07:43:37.408000000,Non-Critical
26,08-17-22-0008-00,26,2022-08-17 07:45:16.321,2022-08-17 07:45:43.900,2222.62,0,0,7.0,1,180.0,24.0,30.0,27.579,118.2113377943,171.75504032258064,24.82512096774193,33.633920991967535,3.652574155443814,108.0,98.913,1.0,0.0945494240212962,-0.0458053315412186,0.0343800403225806,126.492,41.3638,57.54919999999999,1.0,10.069292872107052,60,25.0,1,2022-08-01 10:05:27,2022-08-01 10:05:52.658471141,2022-08-17 07:45:16.321000000,2022-08-17 07:45:16.321000000,2022-08-17 07:45:43.900000000,2022-08-17 07:45:43.900000000,Non-Critical
27,08-17-22-0009-00,27,2022-08-17 07:47:06.597,2022-08-17 07:47:34.233,2444.59,0,0,7.0,1,180.0,24.0,30.0,27.636,118.625353349,171.48048,25.38244,35.97967497092846,5.182457593965725,108.0,82.697,1.0,0.0983829013796298,-0.0473306666666666,0.0576016666666665,110.333,41.3638,41.333200000000005,1.0,23.09805604921972,60,25.0,1,2022-08-01 10:07:15,2022-08-01 10:07:40.756527190,2022-08-17 07:47:06.597000000,2022-08-17 07:47:06.597000000,2022-08-17 07:47:34.233000000,2022-08-17 07:47:34.233000000,Non-Critical
28,08-17-22-0010-00,28,2022-08-17 07:48:58.015,2022-08-17 07:49:25.560,1940.98,0,0,7.0,1,180.0,24.0,30.0,27.545,118.9693452555,172.99489959839357,24.947710843373493,35.629324469984844,3.73191196520648,108.0,83.782,1.0,0.1015680116249999,-0.038917224453369,0.0394879518072288,111.327,41.3638,42.4182,1.0,58.01303299044757,60,25.0,1,2022-08-01 10:09:38,2022-08-01 10:10:03.769560180,2022-08-17 07:48:58.015000000,2022-08-17 07:48:58.015000000,2022-08-17 07:49:25.560000000,2022-08-17 07:49:25.560000000,Non-Critical
29,08-17-22-0011-00,29,2022-08-17 07:50:31.234,2022-08-17 07:50:58.757,2197.87,0,0,7.0,1,180.0,24.0,30.0,27.523,118.9849996539,173.23156,24.99204,35.05482577344276,3.9588744595333374,108.0,65.674,1.0,0.1017129597583332,-0.0376024444444443,0.0413349999999999,93.197,41.3638,24.310200000000005,1.0,83.71960781854173,60,25.0,1,2022-08-01 10:12:27,2022-08-01 10:12:52.489167998,2022-08-17 07:50:31.234000000,2022-08-17 07:50:31.234000000,2022-08-17 07:50:58.757000000,2022-08-17 07:50:58.757000000,Non-Critical
30,08-17-22-0012-00,30,2022-08-17 07:53:28.614,2022-08-17 07:53:56.144,2447.05,0,0,7.0,1,180.0,24.0,30.0,27.53,117.2165404624,169.7857258064516,25.021774193548385,32.52852772675491,3.784360218662394,108.0,149.857,1.0,0.0853383376148149,-0.0567459677419355,0.0425739247311827,177.387,41.3638,108.4932,1.0,10.946617874741495,60,25.0,1,2022-08-01 10:14:03,2022-08-01 10:14:28.435785872,2022-08-17 07:53:28.614000000,2022-08-17 07:53:28.614000000,2022-08-17 07:53:56.144000000,2022-08-17 07:53:56.144000000,Non-Critical
31,08-17-22-0013-00,31,2022-08-17 07:55:07.435,2022-08-17 07:55:34.902,1913.61,0,0,7.0,1,180.0,24.0,30.0,27.467,115.2667911508,167.32967479674795,25.209715447154476,33.94497661576499,3.708254487932376,108.0,71.291,1.0,0.067285103248148,-0.0703906955736225,0.0504048102981029,98.758,41.3638,29.9272,1.0,25.3936304775913,60,25.0,1,2022-08-01 10:15:53,2022-08-01 10:16:18.829416349,2022-08-17 07:55:07.435000000,2022-08-17 07:55:07.435000000,2022-08-17 07:55:34.902000000,2022-08-17 07:55:34.902000000,Non-Critical
32,08-17-22-0014-00,32,2022-08-17 08:08:23.942,2022-08-17 08:08:51.677,2185.41,0,0,7.0,1,180.0,24.0,30.0,27.735,117.4095569943,169.54928,24.93536,36.81116640600078,3.848168926482696,108.0,769.04,1.0,0.087125527725,-0.0580595555555555,0.0389733333333333,796.775,41.3638,727.6762,1.0,14.083377412449302,60,25.0,1,2022-08-01 10:17:32,2022-08-01 10:17:57.912793761,2022-08-17 08:08:23.942000000,2022-08-17 08:08:23.942000000,2022-08-17 08:08:51.677000000,2022-08-17 08:08:51.677000000,Non-Critical
33,08-17-22-0015-00,33,2022-08-17 08:10:16.740,2022-08-17 08:10:44.250,2517.05,0,0,7.0,1,180.0,24.0,30.0,27.51,116.7252718739,170.00752032520325,25.26959349593496,31.96022164027502,4.619229973530837,108.0,85.063,1.0,0.0807895543879628,-0.055513775971093,0.0528997289972898,112.573,41.3638,43.699200000000005,1.0,16.401813537900154,60,25.0,1,2022-08-01 10:19:14,2022-08-01 10:19:39.314607298,2022-08-17 08:10:16.740000000,2022-08-17 08:10:16.740000000,2022-08-17 08:10:44.250000000,2022-08-17 08:10:44.250000000,Non-Critical
34,08-17-22-0016-00,34,2022-08-17 08:11:54.234,2022-08-17 08:12:21.629,1649.34,0,0,7.0,1,180.0,24.0,30.0,27.395,115.7119846035,168.87604000000002,25.18612,36.48385335653794,3.868050439486231,108.0,69.984,1.0,0.0714072648472221,-0.0617997777777776,0.0494216666666667,97.379,41.3638,28.620199999999997,1.0,918.1243803398108,60,25.0,1,2022-08-01 10:35:57,2022-08-01 10:36:22.438987637,2022-08-17 08:11:54.234000000,2022-08-17 08:11:54.234000000,2022-08-17 08:12:21.629000000,2022-08-17 08:12:21.629000000,Non-Critical
35,08-17-22-0017-00,35,2022-08-17 08:13:36.882,2022-08-17 08:14:04.445,2475.41,0,0,7.0,1,180.0,24.0,30.0,27.563,116.6770114443,169.87596,25.52815261044177,33.45231179959541,5.568426962029299,108.0,75.253,1.0,0.0803426985583333,-0.0562446666666667,0.0636730254350737,102.816,41.3638,33.8892,1.0,16.423949467254666,60,25.0,1,2022-08-01 10:37:38,2022-08-01 10:38:03.862937104,2022-08-17 08:13:36.882000000,2022-08-17 08:13:36.882000000,2022-08-17 08:14:04.445000000,2022-08-17 08:14:04.445000000,Non-Critical
36,08-17-22-0018-00,36,2022-08-17 08:15:31.129,2022-08-17 08:15:58.649,1895.9,0,0,7.0,1,180.0,24.0,30.0,27.52,116.9836431742,169.95565737051794,25.332629482071717,36.24272639670109,5.0895594561973,108.0,86.684,1.0,0.0831818812425926,-0.0558019034971225,0.0555262284196547,114.204,41.3638,45.3202,1.0,60.08980437513149,60,25.0,1,2022-08-01 10:40:03,2022-08-01 10:40:28.952741479,2022-08-17 08:15:31.129000000,2022-08-17 08:15:31.129000000,2022-08-17 08:15:58.649000000,2022-08-17 08:15:58.649000000,Non-Critical
37,08-17-22-0019-00,37,2022-08-17 08:17:25.321,2022-08-17 08:17:52.799,1411.31,0,0,7.0,1,180.0,24.0,30.0,27.478,117.9561564704,172.11676113360323,25.450691056910568,36.457828573076696,4.986147906857811,108.0,86.672,1.0,0.0921866339851851,-0.043795771479982,0.0604454607046069,114.15,41.3638,45.30820000000001,1.0,578.85931191162,60,25.0,1,2022-08-01 10:51:07,2022-08-01 10:51:32.812053390,2022-08-17 08:17:25.321000000,2022-08-17 08:17:25.321000000,2022-08-17 08:17:52.799000000,2022-08-17 08:17:52.799000000,Non-Critical
38,08-18-22-0020-00,38,2022-08-18 01:12:58.959,2022-08-18 01:13:26.574,2507.21,0,0,7.0,1,180.0,24.0,30.0,27.615,117.1059116083,169.7942231075697,24.90191235059761,35.95232344778325,3.907773525715998,108.0,60906.16,0.0,0.0843139963731482,-0.0566987605135016,0.0375796812749003,27.615,41.3638,-41.3638,1.0,21.628498509250534,60,25.0,1,2022-08-01 10:52:54,2022-08-01 10:53:19.440551899,2022-08-18 01:12:58.959000000,2022-08-18 01:12:58.959000000,2022-08-18 01:13:26.574000000,2022-08-18 01:13:26.574000000,Non-Critical
39,08-30-22-0001-09,39,2022-08-30 10:33:25.436,2022-08-30 10:33:47.330,1388.03,1,0,7.0,1,150.0,16.0,30.0,21.894,47.5300395037,136.07878787878786,16.603484848484847,59.30602418913519,6.122882559699378,60.0,1070398.862,0.0,-0.2078326749383332,-0.0928080808080809,0.0377178030303029,1070420.756,41.3638,1070357.4982,1.0,50.609004738408146,60,25.0,1,2022-08-01 10:55:10,2022-08-01 10:55:35.049556637,2022-08-30 10:33:25.436000000,2022-08-30 10:33:25.436000000,2022-08-30 10:33:47.330000000,2022-08-30 10:33:47.330000000,Non-Critical
40,08-30-22-0002-09,40,2022-08-30 10:40:06.046,2022-08-30 10:40:27.870,1226.39,1,0,7.0,1,150.0,16.0,30.0,21.824,44.7499937367,105.02853535353536,22.57979797979798,71.70828420574743,10.445516025315492,60.0,378.716,1.0,-0.2541667710550001,-0.2998097643097642,0.4112373737373738,400.54,41.3638,337.3522,1.0,83.16593762036538,60,25.0,1,2022-08-01 10:57:58,2022-08-01 10:58:23.215494257,2022-08-30 10:40:06.046000000,2022-08-30 10:40:06.046000000,2022-08-30 10:40:27.870000000,2022-08-30 10:40:27.870000000,Non-Critical
41,08-30-22-0003-09,41,2022-08-30 10:43:09.518,2022-08-30 10:43:31.992,1293.12,1,0,7.0,1,150.0,16.0,30.0,22.474,48.2601306093,104.38490196078432,24.21103448275862,74.41927881669005,11.558679196436408,60.0,161.648,1.0,-0.195664489845,-0.3041006535947712,0.5131896551724138,184.122,41.3638,120.28419999999998,1.0,74.65217205396438,60,25.0,1,2022-08-01 11:00:37,2022-08-01 11:01:02.867666310,2022-08-30 10:43:09.518000000,2022-08-30 10:43:09.518000000,2022-08-30 10:43:31.992000000,2022-08-30 10:43:31.992000000,Non-Critical
42,08-30-22-0004-09,42,2022-08-30 10:45:20.606,2022-08-30 10:45:42.437,1268.85,1,0,7.0,1,150.0,16.0,30.0,21.831,47.6755930188,111.00353535353536,22.405656565656564,73.0385058839004,10.687975231134876,60.0,108.614,1.0,-0.20540678302,-0.2599764309764309,0.4003535353535352,130.445,41.3638,67.25019999999999,1.0,12.124639328047081,60,25.0,1,2022-08-01 11:02:14,2022-08-01 11:02:39.992305638,2022-08-30 10:45:20.606000000,2022-08-30 10:45:20.606000000,2022-08-30 10:45:42.437000000,2022-08-30 10:45:42.437000000,Non-Critical
43,08-30-22-0005-09,43,2022-08-30 10:47:25.815,2022-08-30 10:47:47.599,1269.67,1,0,7.0,1,150.0,16.0,30.0,21.784,45.4766307252,105.50944444444444,23.494060913705585,69.58184616646388,12.020429707943787,60.0,103.378,1.0,-0.2420561545799999,-0.2966037037037037,0.468378807106599,125.162,41.3638,62.01420000000001,1.0,76.80457795795414,60,25.0,1,2022-08-01 11:04:56,2022-08-01 11:05:21.796883595,2022-08-30 10:47:25.815000000,2022-08-30 10:47:25.815000000,2022-08-30 10:47:47.599000000,2022-08-30 10:47:47.599000000,Non-Critical
44,08-30-22-0006-09,44,2022-08-30 10:50:17.378,2022-08-30 10:50:39.195,1234.43,1,0,7.0,1,150.0,16.0,30.0,21.817,44.474773904500005,107.9429797979798,22.516010101010103,73.53564612122882,11.50017345885069,60.0,149.779,1.0,-0.2587537682583333,-0.2803801346801348,0.4072506313131314,171.596,41.3638,108.4152,1.0,2009.9592165618128,60,25.0,1,2022-08-01 11:39:51,2022-08-01 11:40:16.756100156,2022-08-30 10:50:17.378000000,2022-08-30 10:50:17.378000000,2022-08-30 10:50:39.195000000,2022-08-30 10:50:39.195000000,Non-Critical
