folder_4,WeldNumber,datetime_min,datetime_max,Wire Consumed,QualityFlag,WELD_TYPE,THICKNESS_MM,STEEL_TYPE,CURRENT_A,VOLTAGE_V,ROBOT_SPEED_CPM,Duration,Energy,AvgCurrent,AvgVoltage,StdCurrent,StdVoltage,DesignEnergy,WaitTime,WaitSameDayFlag,EnergyDelta,CurrentDelta,VoltDelta,CycleTime,EstSetupTime,WaitTimeCalc,WIP
08-30-22-0002-09,40,2022-08-30 10:40:06.046,2022-08-30 10:40:27.870,1226.39,1,0,7.0,1,150.0,16.0,30.0,21.824,44.7499937367,105.02853535353536,22.57979797979798,71.70828420574743,10.445516025315492,60.0,378.716,1,-0.2541667710550001,-0.29980976430976425,0.4112373737373738,400.54,41.3638,337.3522,1
08-30-22-0003-09,41,2022-08-30 10:43:09.518,2022-08-30 10:43:31.992,1293.12,1,0,7.0,1,150.0,16.0,30.0,22.474,48.2601306093,104.38490196078432,24.21103448275862,74.41927881669005,11.558679196436408,60.0,161.648,1,-0.19566448984500007,-0.30410065359477123,0.5131896551724138,184.12199999999999,41.3638,120.28419999999998,1
08-30-22-0004-09,42,2022-08-30 10:45:20.606,2022-08-30 10:45:42.437,1268.85,1,0,7.0,1,150.0,16.0,30.0,21.831,47.6755930188,111.00353535353536,22.405656565656564,73.0385058839004,10.687975231134876,60.0,108.614,1,-0.20540678302000004,-0.25997643097643097,0.40035353535353524,130.445,41.3638,67.25019999999999,1
08-30-22-0005-09,43,2022-08-30 10:47:25.815,2022-08-30 10:47:47.599,1269.67,1,0,7.0,1,150.0,16.0,30.0,21.784,45.4766307252,105.50944444444444,23.494060913705585,69.58184616646388,12.020429707943789,60.0,103.378,1,-0.24205615457999996,-0.2966037037037037,0.46837880710659907,125.162,41.3638,62.01420000000001,1
08-30-22-0006-09,44,2022-08-30 10:50:17.378,2022-08-30 10:50:39.195,1234.43,1,0,7.0,1,150.0,16.0,30.0,21.817,44.474773904500005,107.94297979797979,22.516010101010103,73.53564612122882,11.50017345885069,60.0,149.779,1,-0.2587537682583333,-0.2803801346801348,0.40725063131313144,171.596,41.3638,108.4152,1
08-30-22-0007-09,45,2022-08-30 10:52:31.264,2022-08-30 10:52:52.833,1230.0,1,0,7.0,1,150.0,16.0,30.0,21.569,45.9974629919,98.4111855670103,25.310773195876287,76.27983522738968,11.263887958335282,60.0,112.069,1,-0.23337561680166663,-0.34392542955326466,0.5819233247422679,133.638,41.3638,70.7052,1
08-30-22-0008-09,46,2022-08-30 10:54:41.462,2022-08-30 10:55:03.633,1174.75,1,0,7.0,1,150.0,16.0,30.0,22.171,37.5739545251,88.95476190476191,23.855661375661377,66.18941521707316,12.032054228125528,60.0,108.629,1,-0.3737674245816667,-0.406968253968254,0.49097883597883607,130.8,41.3638,67.26520000000002,1
08-30-22-0009-09,47,2022-08-30 10:56:55.887,2022-08-30 10:57:17.557,1207.54,1,0,7.0,1,150.0,16.0,30.0,21.67,47.0709014528,96.88994949494949,26.524444444444445,74.21475960785871,12.141885278497208,60.0,112.254,1,-0.2154849757866667,-0.35406700336700336,0.6577777777777778,133.924,41.3638,70.89020000000001,1
08-30-22-0010-09,48,2022-08-30 11:01:25.413,2022-08-30 11:01:47.483,1227.54,1,0,7.0,1,150.0,16.0,30.0,22.07,46.4165637873,107.11435,22.73455,72.21294267669504,10.771676278404103,60.0,247.856,1,-0.22639060354499996,-0.2859043333333333,0.4209093749999999,269.926,41.3638,206.4922,1
08-30-22-0011-09,49,2022-08-30 11:07:34.260,2022-08-30 11:07:55.998,1295.9,1,0,7.0,1,150.0,16.0,30.0,21.738,46.185670571900005,113.52704081632653,22.216377551020408,69.11117112875507,11.919356618340851,60.0,346.777,1,-0.2302388238016666,-0.24315306122448976,0.3885235969387755,368.515,41.3638,305.4132,1
08-30-22-0012-09,50,2022-08-30 11:12:59.250,2022-08-30 11:13:21.037,1239.02,1,0,7.0,1,150.0,16.0,30.0,21.787,48.7172943253,116.92959798994976,21.553417085427135,69.77877039485124,10.16745686854122,60.0,303.252,1,-0.1880450945783333,-0.22046934673366825,0.34708856783919595,325.039,41.3638,261.88820000000004,1
08-30-22-0013-09,51,2022-08-30 11:15:14.990,2022-08-30 11:15:36.659,1287.54,1,0,7.0,1,150.0,16.0,30.0,21.669,48.0748023789,115.74720812182741,21.631776649746193,70.07763013784837,10.531462647746535,60.0,113.953,1,-0.19875329368499994,-0.22835194585448393,0.3519860406091371,135.622,41.3638,72.58920000000002,1
08-30-22-0014-09,52,2022-08-30 11:17:03.964,2022-08-30 11:17:25.656,1322.13,1,0,7.0,1,150.0,16.0,30.0,21.692,43.5289927609,118.23946308724832,19.341006711409396,56.039903746098105,9.782327746597257,60.0,87.305,1,-0.2745167873183333,-0.21173691275167783,0.20881291946308722,108.99700000000001,41.3638,45.941200000000016,1
08-30-22-0015-09,53,2022-08-30 11:20:56.133,2022-08-30 11:21:17.803,1290.0,1,0,7.0,1,150.0,16.0,30.0,21.67,48.395661471400004,114.59565656565655,22.100353535353534,70.08557011538983,10.543621180131352,60.0,210.477,1,-0.19340564214333322,-0.23602895622895625,0.3812720959595959,232.147,41.3638,169.1132,1
08-30-22-0016-09,54,2022-08-30 11:23:12.977,2022-08-30 11:23:34.700,1234.59,1,0,7.0,1,150.0,16.0,30.0,21.723,47.5130008741,110.75454545454546,23.84651515151515,72.44852561300279,12.904947757611142,60.0,115.174,1,-0.2081166520983333,-0.26163636363636356,0.4904071969696968,136.897,41.3638,73.8102,1
08-30-22-0017-09,55,2022-08-30 11:25:20.415,2022-08-30 11:25:42.084,1254.59,1,0,7.0,1,150.0,16.0,30.0,21.669,48.3801200897,111.86162436548224,22.561218274111674,66.59241159502976,10.705699680595046,60.0,105.715,1,-0.1936646651716667,-0.2542558375634517,0.4100761421319796,127.384,41.3638,64.3512,1
08-30-22-0018-09,56,2022-08-30 11:27:31.761,2022-08-30 11:27:53.545,1324.92,1,0,7.0,1,150.0,16.0,30.0,21.784,46.4099931347,115.36471794871794,20.93435897435897,69.52537496644058,10.131865521345913,60.0,109.677,1,-0.22650011442166662,-0.23090188034188042,0.30839743589743573,131.461,41.3638,68.31320000000002,1
08-30-22-0019-09,57,2022-08-30 11:29:28.469,2022-08-30 11:29:50.139,1208.2,1,0,7.0,1,150.0,16.0,30.0,21.67,47.6165289705,114.06168367346939,22.44811224489796,68.87778492464072,11.651830185619595,60.0,94.924,1,-0.206391183825,-0.23958877551020408,0.4030070153061225,116.59400000000001,41.3638,53.56020000000001,1
08-30-22-0020-09,58,2022-08-30 11:31:48.354,2022-08-30 11:32:10.039,1337.38,1,0,7.0,1,150.0,16.0,30.0,21.685,49.936655187300005,117.30121827411168,22.925380710659898,69.11773319029913,12.104731975816758,60.0,118.215,1,-0.16772241354499995,-0.2179918781725888,0.4328362944162436,139.9,41.3638,76.8512,1
09-05-22-0001-07,59,2022-09-05 02:14:03.642,2022-09-05 02:14:24.859,1307.71,1,0,7.0,1,150.0,18.0,30.0,21.217,57.703847574,155.7657894736842,19.373842105263158,50.97848083361835,10.44826597477779,67.5,484913.603,0,-0.14512818408888883,0.03843859649122816,0.07632456140350885,484934.82,41.3638,484872.2392,1
09-05-22-0002-07,60,2022-09-05 02:18:50.024,2022-09-05 02:19:11.342,1336.56,1,0,7.0,1,150.0,18.0,30.0,21.318,60.719896836400004,158.56789743589744,18.284871794871794,48.81877980911937,6.529342680086119,67.5,265.165,1,-0.10044597279407397,0.05711931623931621,0.01582621082621083,286.483,41.3638,223.8012,1
09-05-22-0003-07,61,2022-09-05 02:20:40.720,2022-09-05 02:21:02.245,1428.85,1,0,7.0,1,150.0,18.0,30.0,21.525,60.568984364500004,155.44860824742267,18.44639175257732,50.02580967664875,6.995911416706042,67.5,89.378,1,-0.10268171311851848,0.03632405498281788,0.024799541809851,110.90299999999999,41.3638,48.014199999999995,1
09-05-22-0004-07,62,2022-09-05 02:22:40.053,2022-09-05 02:23:01.371,1272.13,1,0,7.0,1,150.0,18.0,30.0,21.318,60.910964920400005,156.74647668393783,18.446113989637304,47.97844394470213,6.529793412334882,67.5,97.808,1,-0.09761533451259252,0.044976511226252125,0.024784110535405857,119.126,41.3638,56.44420000000001,1
09-05-22-0005-07,63,2022-09-05 02:25:23.334,2022-09-05 02:25:44.668,1332.95,1,0,7.0,1,150.0,18.0,30.0,21.334,56.6505702624,160.74829015544043,18.058082901554403,49.214143691104724,10.070692366619662,67.5,141.963,1,-0.16073229240888887,0.07165526770293629,0.003226827864133419,163.297,41.3638,100.5992,1
09-05-22-0006-07,64,2022-09-05 02:27:16.352,2022-09-05 02:27:37.724,1301.48,1,0,7.0,1,150.0,18.0,30.0,21.372,54.5877651132,160.10422680412373,16.102901554404145,46.77834358625456,5.005179908068539,67.5,91.684,1,-0.19129236869333333,0.06736151202749152,-0.1053943580886586,113.056,41.3638,50.3202,1
09-05-22-0007-07,65,2022-09-05 02:28:49.308,2022-09-05 02:29:10.650,1344.43,1,0,7.0,1,150.0,18.0,30.0,21.342,54.037495636500005,160.10886597938145,17.002474226804125,45.96886986466816,8.639953707289125,67.5,71.584,1,-0.19944450908888878,0.06739243986254295,-0.055418098510881975,92.926,41.3638,30.220200000000006,1
09-05-22-0008-07,66,2022-09-05 02:30:38.919,2022-09-05 02:31:00.236,1375.74,1,0,7.0,1,150.0,18.0,30.0,21.317,55.303177204600004,159.63265625,17.779947916666668,46.398059725709864,9.668347855712122,67.5,88.269,1,-0.18069367104296286,0.06421770833333329,-0.0122251157407407,109.58600000000001,41.3638,46.905200000000015,1
09-05-22-0009-07,67,2022-09-05 02:32:09.996,2022-09-05 02:32:31.303,1291.8,1,0,7.0,1,150.0,18.0,30.0,21.307,58.0721990552,155.91854922279794,18.15440414507772,47.88821122077904,7.750999517695514,67.5,69.76,1,-0.13967112510814816,0.039456994818652946,0.00857800805987341,91.06700000000001,41.3638,28.39620000000001,1
09-05-22-0010-07,68,2022-09-05 02:34:02.282,2022-09-05 02:34:23.538,1354.43,1,0,7.0,1,150.0,18.0,30.0,21.256,57.146900204800005,161.12808290155442,17.299067357512953,44.992941077756015,7.674418759249089,67.5,90.979,1,-0.1533792562251851,0.0741872193436961,-0.03894070236039149,112.235,41.3638,49.6152,1
09-05-22-0011-07,69,2022-09-05 02:35:38.926,2022-09-05 02:36:00.361,1340.49,1,0,7.0,1,150.0,18.0,30.0,21.435,55.4727443318,162.26336734693876,16.473061224489793,46.79134902388069,7.219720345200288,67.5,75.388,1,-0.17818156545481478,0.08175578231292513,-0.08482993197278921,96.82300000000001,41.3638,34.02420000000001,1
09-05-22-0012-07,70,2022-09-05 02:37:43.710,2022-09-05 02:38:05.082,1318.69,1,0,7.0,1,150.0,18.0,30.0,21.372,55.2114033332,156.6143076923077,17.725948717948718,49.491941663219876,9.000505455304433,67.5,103.349,1,-0.18205328395259257,0.04409538461538465,-0.015225071225071218,124.721,41.3638,61.985200000000006,1
09-05-22-0013-07,71,2022-09-05 02:39:23.107,2022-09-05 02:39:44.363,1377.05,1,0,7.0,1,150.0,18.0,30.0,21.256,55.398120782300005,158.81678756476683,17.08834196891192,43.87430390047814,7.882774426132057,67.5,78.025,1,-0.17928709952148136,0.05877858376511225,-0.05064766839378221,99.281,41.3638,36.66120000000001,1
09-05-22-0014-07,72,2022-09-05 02:41:17.845,2022-09-05 02:41:39.170,1291.97,1,0,7.0,1,150.0,18.0,30.0,21.325,56.6643355522,159.55582474226804,17.43362694300518,46.21273738899992,7.557311119710742,67.5,93.482,1,-0.16052836218962963,0.06370549828178707,-0.03146516983304559,114.807,41.3638,52.1182,1
09-05-22-0015-07,73,2022-09-05 02:43:03.935,2022-09-05 02:43:25.236,1330.98,1,0,7.0,1,150.0,18.0,30.0,21.301,56.776983272,157.18025906735753,18.04440414507772,47.85868201490059,8.888016615457548,67.5,84.765,1,-0.15885950708148144,0.04786839378238361,0.0024668969487622316,106.066,41.3638,43.4012,1
09-05-22-0016-07,74,2022-09-05 02:45:00.570,2022-09-05 02:45:22.073,1380.98,1,0,7.0,1,150.0,18.0,30.0,21.503,57.5780072618,157.52188775510206,17.870410256410256,49.44012710555037,8.407790069420184,67.5,95.334,1,-0.14699248501037032,0.05014591836734694,-0.007199430199430257,116.837,41.3638,53.970200000000006,1
09-05-22-0017-07,75,2022-09-05 02:46:40.676,2022-09-05 02:47:01.995,1330.0,1,0,7.0,1,150.0,18.0,30.0,21.319,56.0381165753,161.65530927835053,16.87279792746114,45.40458183902137,7.169160039537107,67.5,78.603,1,-0.16980568036592592,0.0777020618556703,-0.06262233736327005,99.922,41.3638,37.2392,1
09-05-22-0018-07,76,2022-09-05 02:48:12.576,2022-09-05 02:48:33.925,1369.67,1,0,7.0,1,150.0,18.0,30.0,21.349,56.601396688600005,161.94190721649485,16.525336787564765,45.38757398792629,5.316880450463883,67.5,70.581,1,-0.1614607897985184,0.07961271477663234,-0.08192573402417969,91.93,41.3638,29.21720000000001,1
09-05-22-0019-07,77,2022-09-05 02:50:04.934,2022-09-05 02:50:26.429,1290.0,1,0,7.0,1,150.0,18.0,30.0,21.495,57.2133624617,157.8291794871795,17.225515463917525,48.87276821011028,6.6398140457347,67.5,91.009,1,-0.15239463019703703,0.052194529914529886,-0.04302691867124864,112.504,41.3638,49.6452,1
09-05-22-0020-07,78,2022-09-05 02:51:40.541,2022-09-05 02:52:01.966,1305.57,1,0,7.0,1,150.0,18.0,30.0,21.425,56.813272717800004,157.39384615384614,17.420871794871797,49.37723776557018,7.71906054049381,67.5,74.112,1,-0.15832188566222216,0.049292307692307524,-0.0321737891737891,95.53699999999999,41.3638,32.7482,1
09-07-22-0001-10,79,2022-09-07 03:27:33.012,2022-09-07 03:27:59.513,1687.21,1,0,7.0,1,180.0,28.0,30.0,26.501,114.2448445392,163.93814049586777,26.01909090909091,35.49617190880374,5.579974642634869,126.0,174931.046,0,-0.09329488460952384,-0.08923255280073461,-0.07074675324675328,174957.547,41.3638,174889.6822,1
